City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,iquique,-20.2208,-70.1431,28.02,71,99,3.46,CL,1675622601
84,beringovskiy,63.05,179.3167,-28.52,93,100,5.49,RU,1675622722
85,bredasdorp,-34.5322,20.0403,21.62,76,100,3.25,ZA,1675622722
86,char bhadrasan,23.3167,90.2167,18.08,39,5,1.51,BD,1675622723
87,mount isa,-20.7333,139.5,24.87,100,100,2.57,AU,1675622723
88,margate,51.3813,1.3862,5.94,81,84,2.24,GB,1675622724
89,cape town,-33.9258,18.4232,21.23,82,20,8.23,ZA,1675622524
90,pangnirtung,66.1451,-65.7125,-33.0,75,75,0.0,CA,1675622724
91,norman wells,65.282,-126.8329,-32.98,68,75,1.03,CA,1675622459
92,pisco,-13.7,-76.2167,25.03,78,0,4.63,PE,1675622725
93,ahipara,-35.1667,173.1667,17.75,93,100,3.34,NZ,1675622601
94,beloha,-25.1667,45.05,22.13,90,100,3.86,MG,1675622602
95,richards bay,-28.783,32.0377,22.86,88,2,1.45,ZA,1675622726
96,tyazhinskiy,56.116,88.524,-22.16,100,22,1.83,RU,1675622726
97,avarua,-21.2078,-159.775,27.03,83,40,6.17,CK,1675622520
98,rio gallegos,-51.6226,-69.2181,17.03,19,20,16.98,AR,1675622511
99,sao jose da coroa grande,-8.8978,-35.1478,27.97,72,19,4.2,BR,1675622727
100,gorontalo,0.5412,123.0595,23.57,87,100,1.65,ID,1675622727
101,elizabeth city,36.2946,-76.2511,13.01,58,100,4.12,US,1675622727
102,mana,5.6592,-53.7767,25.23,88,100,5.72,GF,1675622728
103,cabo san lucas,22.8909,-109.9124,29.23,54,0,2.06,MX,1675622728
104,hofn,64.2539,-15.2082,7.44,98,100,10.45,IS,1675622728
105,kismayo,-0.3582,42.5454,24.52,83,6,6.52,SO,1675622729
106,tazovskiy,67.4667,78.7,-23.0,100,73,3.71,RU,1675622729
107,klaksvik,62.2266,-6.589,8.51,95,100,15.32,FO,1675622645
108,ribeira grande,38.5167,-28.7,16.54,88,20,6.71,PT,1675622730
109,narsaq,60.9167,-46.05,-6.88,93,100,4.37,GL,1675622730
110,manado,1.487,124.8455,24.43,100,40,1.03,ID,1675622730
111,coihaique,-45.5752,-72.0662,21.97,35,20,3.6,CL,1675622731
112,vilhena,-12.7406,-60.1458,27.12,78,75,6.69,BR,1675622496
113,berlevag,70.8578,29.0864,-5.0,86,100,10.8,NO,1675622731
114,feijo,-8.1642,-70.3536,22.77,96,100,1.07,BR,1675622731
115,longyearbyen,78.2186,15.6401,-4.09,74,40,16.98,SJ,1675622732
116,muyinga,-2.8333,30.3333,14.93,86,19,1.75,BI,1675622732
117,anadyr,64.75,177.4833,-32.72,75,40,5.0,RU,1675622732
118,hay river,60.8156,-115.7999,-17.02,85,100,4.63,CA,1675622560
119,atuona,-9.8,-139.0333,25.68,80,20,7.47,PF,1675622733
120,puerto ayora,-0.7393,-90.3518,29.98,89,14,3.13,EC,1675622505
121,dunedin,-45.8742,170.5036,18.22,51,44,1.34,NZ,1675622712
122,luena,-11.7833,19.9167,16.4,91,90,3.28,AO,1675622734
123,aklavik,68.2191,-135.0107,-44.0,66,20,1.03,CA,1675622561
124,shahr-e babak,30.1165,55.1186,6.11,51,4,0.32,IR,1675622734
125,albany,42.6001,-73.9662,5.96,47,100,1.34,US,1675622734
126,verkhnyaya toyma,62.2349,44.9985,-21.83,100,100,0.77,RU,1675622735
127,kavieng,-2.5744,150.7967,27.4,74,100,1.19,PG,1675622629
128,bria,6.5423,21.9863,26.8,15,4,0.62,CF,1675622735
129,kahului,20.8947,-156.47,24.91,85,40,4.92,US,1675622736
130,dingle,10.9995,122.6711,23.21,93,100,3.48,PH,1675622736
131,mar del plata,-38.0023,-57.5575,32.68,37,0,7.72,AR,1675622457
132,lucapa,-8.4192,20.7447,17.95,91,100,0.95,AO,1675622736
133,channel-port aux basques,47.5702,-59.1367,-5.53,79,100,9.61,CA,1675622712
134,forrest city,35.0081,-90.7898,11.92,70,9,5.64,US,1675622740
135,butaritari,3.0707,172.7902,26.94,82,100,8.6,KI,1675622740
136,uaua,-9.8414,-39.4817,36.62,18,20,5.34,BR,1675622741
137,college,64.8569,-147.8028,-24.01,73,0,2.06,US,1675622450
138,bengkulu,-3.8004,102.2655,23.16,91,100,2.57,ID,1675622741
139,ponta do sol,32.6667,-17.1,16.74,49,70,1.97,PT,1675622741
140,upernavik,72.7868,-56.1549,-25.59,95,100,0.63,GL,1675622742
141,visnes,59.3556,5.2242,7.03,87,75,5.14,NO,1675622742
142,castro,-24.7911,-50.0119,24.99,57,77,3.25,BR,1675622742
143,port hedland,-20.3167,118.5667,27.03,89,6,2.06,AU,1675622743
144,turtas,58.9417,69.1325,-19.65,100,100,0.98,RU,1675622743
145,victoria,22.2855,114.1577,19.41,88,100,1.79,HK,1675622697
146,cockburn town,21.4612,-71.1419,26.98,65,40,7.72,TC,1675622744
147,provideniya,64.3833,-173.3,-16.99,95,99,4.63,RU,1675622745
148,port hardy,50.6996,-127.4199,6.1,93,75,3.09,CA,1675622745
149,hithadhoo,-0.6,73.0833,27.2,71,92,4.88,MV,1675622745
